,pathway,program,gene,cellline,perturbation
0,IFNB,IFNB_program1_up,NCOR2,A549,IFNAR2
0,IFNB,IFNB_program1_up,NCAPD2,A549,IFNAR2
0,IFNB,IFNB_program1_up,ASPM,A549,IFNAR2
0,IFNB,IFNB_program1_up,BCLAF1,A549,IFNAR2
0,IFNB,IFNB_program1_up,DHX9,A549,IFNAR2
0,IFNB,IFNB_program1_up,SEPT11,A549,IFNAR2
0,IFNB,IFNB_program1_up,MSN,A549,IFNAR2
0,IFNB,IFNB_program1_up,MYADM,A549,IFNAR2
0,IFNB,IFNB_program1_up,DCBLD2,A549,IFNAR2
0,IFNB,IFNB_program1_up,EEF1G,A549,IFNAR2
0,IFNB,IFNB_program1_up,TMBIM6,A549,IFNAR2
0,IFNB,IFNB_program1_up,TTC3,A549,IFNAR2
0,IFNB,IFNB_program1_up,NAP1L1,A549,IFNAR2
0,IFNB,IFNB_program1_up,YWHAG,A549,IFNAR2
0,IFNB,IFNB_program1_up,CYREN,A549,IFNAR2
0,IFNB,IFNB_program1_up,EFNA5,A549,IFNAR2
0,IFNB,IFNB_program1_up,PMEPA1,A549,IFNAR2
0,IFNB,IFNB_program1_up,JPT2,A549,IFNAR2
0,IFNB,IFNB_program1_up,CEP85L,A549,IFNAR2
0,IFNB,IFNB_program1_up,UBE2E3,A549,IFNAR2
0,IFNB,IFNB_program1_up,MAN1A2,A549,IFNAR2
0,IFNB,IFNB_program1_up,ATP2B1,A549,IFNAR2
0,IFNB,IFNB_program1_up,MSI2,A549,IFNAR2
0,IFNB,IFNB_program1_up,FARS2,A549,IFNAR2
0,IFNB,IFNB_program1_up,HERC2,A549,IFNAR2
0,IFNB,IFNB_program1_up,DDX10,A549,IFNAR2
0,IFNB,IFNB_program1_up,PCYOX1,A549,IFNAR2
0,IFNB,IFNB_program1_up,GSPT1,A549,IFNAR2
0,IFNB,IFNB_program1_up,MT-ND2,A549,IFNAR2
0,IFNB,IFNB_program1_up,SBNO1,A549,IFNAR2
0,IFNB,IFNB_program1_up,MPP6,A549,IFNAR2
0,IFNB,IFNB_program1_up,HDLBP,A549,IFNAR2
0,IFNB,IFNB_program1_up,CAMSAP2,A549,IFNAR2
0,IFNB,IFNB_program1_up,RPL5,A549,IFNAR2
0,IFNB,IFNB_program1_up,PRMT3,A549,IFNAR2
0,IFNB,IFNB_program1_up,CCT5,A549,IFNAR2
0,IFNB,IFNB_program1_up,C15orf41,A549,IFNAR2
0,IFNB,IFNB_program1_up,SPRED2,A549,IFNAR2
0,IFNB,IFNB_program1_up,TGOLN2,A549,IFNAR2
0,IFNB,IFNB_program1_up,YWHAZ,A549,IFNAR2
0,IFNB,IFNB_program1_up,CENPE,A549,IFNAR2
0,IFNB,IFNB_program1_up,RPS3,A549,IFNAR2
0,IFNB,IFNB_program1_up,GLS,A549,IFNAR2
0,IFNB,IFNB_program1_up,THSD4,A549,IFNAR2
0,IFNB,IFNB_program1_up,EEPD1,A549,IFNAR2
0,IFNB,IFNB_program1_up,BUB1B,A549,IFNAR2
0,IFNB,IFNB_program1_up,CSDE1,A549,IFNAR2
0,IFNB,IFNB_program1_up,VCL,A549,IFNAR2
0,IFNB,IFNB_program1_up,SEPT9,A549,IFNAR2
0,IFNB,IFNB_program1_up,SACS,A549,IFNAR2
0,IFNB,IFNB_program1_up,MYO5A,A549,IFNAR2
0,IFNB,IFNB_program1_up,KIAA0100,A549,IFNAR2
0,IFNB,IFNB_program1_up,TGFBI,A549,IFNAR2
0,IFNB,IFNB_program1_up,DKC1,A549,IFNAR2
0,IFNB,IFNB_program1_up,TMX4,A549,IFNAR2
0,IFNB,IFNB_program1_up,SORT1,A549,IFNAR2
0,IFNB,IFNB_program1_up,ATP11B,A549,IFNAR2
0,IFNB,IFNB_program1_up,SPIRE1,A549,IFNAR2
0,IFNB,IFNB_program1_up,KCNQ1OT1,A549,IFNAR2
0,IFNB,IFNB_program1_up,HEATR1,A549,IFNAR2
0,IFNB,IFNB_program1_up,SSFA2,A549,IFNAR2
0,IFNB,IFNB_program1_up,NOLC1,A549,IFNAR2
0,IFNB,IFNB_program1_up,RPL7,A549,IFNAR2
0,IFNB,IFNB_program1_up,TLN1,A549,IFNAR2
0,IFNB,IFNB_program1_up,ARPP19,A549,IFNAR2
0,IFNB,IFNB_program1_up,ABCE1,A549,IFNAR2
0,IFNB,IFNB_program1_up,KIF11,A549,IFNAR2
0,IFNB,IFNB_program1_up,COA1,A549,IFNAR2
0,IFNB,IFNB_program1_up,PRR11,A549,IFNAR2
0,IFNB,IFNB_program1_up,PLEKHA5,A549,IFNAR2
0,IFNB,IFNB_program1_up,MICAL2,A549,IFNAR2
0,IFNB,IFNB_program1_up,LMNB1,A549,IFNAR2
0,IFNB,IFNB_program1_up,CSE1L,A549,IFNAR2
0,IFNB,IFNB_program1_up,SOGA1,A549,IFNAR2
0,IFNB,IFNB_program1_up,CAVIN1,A549,IFNAR2
0,IFNB,IFNB_program1_up,ODF2,A549,IFNAR2
0,IFNB,IFNB_program1_up,UTP20,A549,IFNAR2
0,IFNB,IFNB_program1_up,TPM1,A549,IFNAR2
0,IFNB,IFNB_program1_up,ZNF407,A549,IFNAR2
0,IFNB,IFNB_program1_up,BZW1,A549,IFNAR2
0,IFNB,IFNB_program1_up,GPHN,A549,IFNAR2
0,IFNB,IFNB_program1_up,NDC1,A549,IFNAR2
0,IFNB,IFNB_program1_up,TNIK,A549,IFNAR2
0,IFNB,IFNB_program1_up,ETF1,A549,IFNAR2
0,IFNB,IFNB_program1_up,RANBP2,A549,IFNAR2
0,IFNB,IFNB_program1_up,HNRNPA3,A549,IFNAR2
0,IFNB,IFNB_program1_up,MORC4,A549,IFNAR2
0,IFNB,IFNB_program1_up,SMC4,A549,IFNAR2
0,IFNB,IFNB_program1_up,ANXA1,A549,IFNAR2
0,IFNB,IFNB_program1_up,FHL2,A549,IFNAR2
0,IFNB,IFNB_program1_up,IFT88,A549,IFNAR2
0,IFNB,IFNB_program1_up,RBM3,A549,IFNAR2
0,IFNB,IFNB_program1_up,STXBP5,A549,IFNAR2
0,IFNB,IFNB_program1_up,PIBF1,A549,IFNAR2
0,IFNB,IFNB_program1_up,AGO2,A549,IFNAR2
0,IFNB,IFNB_program1_up,HIP1,A549,IFNAR2
0,IFNB,IFNB_program1_up,PXN,A549,IFNAR2
0,IFNB,IFNB_program1_up,LASP1,A549,IFNAR2
0,IFNB,IFNB_program1_up,KPNB1,A549,IFNAR2
0,IFNB,IFNB_program1_up,SCMH1,A549,IFNAR2
0,IFNB,IFNB_program1_up,LDHB,A549,IFNAR2
0,IFNB,IFNB_program1_up,PRKCA,A549,IFNAR2
0,IFNB,IFNB_program1_up,HNRNPM,A549,IFNAR2
0,IFNB,IFNB_program1_up,MPHOSPH9,A549,IFNAR2
0,IFNB,IFNB_program1_up,FAM120A,A549,IFNAR2
0,IFNB,IFNB_program1_up,MYOF,A549,IFNAR2
0,IFNB,IFNB_program1_up,CCT3,A549,IFNAR2
0,IFNB,IFNB_program1_up,IGF1R,A549,IFNAR2
0,IFNB,IFNB_program1_up,AC016831.1,A549,IFNAR2
0,IFNB,IFNB_program1_up,WDR35,A549,IFNAR2
0,IFNB,IFNB_program1_up,LARS,A549,IFNAR2
0,IFNB,IFNB_program1_up,DDX6,A549,IFNAR2
0,IFNB,IFNB_program1_up,NOP56,A549,IFNAR2
0,IFNB,IFNB_program1_up,GTF2A1,A549,IFNAR2
0,IFNB,IFNB_program1_up,PABPC4,A549,IFNAR2
0,IFNB,IFNB_program1_up,RUNX1,A549,IFNAR2
0,IFNB,IFNB_program1_up,RPL13A,A549,IFNAR2
0,IFNB,IFNB_program1_up,HELLS,A549,IFNAR2
0,IFNB,IFNB_program1_up,BLCAP,A549,IFNAR2
0,IFNB,IFNB_program1_up,IVNS1ABP,A549,IFNAR2
0,IFNB,IFNB_program1_up,RPL11,A549,IFNAR2
0,IFNB,IFNB_program1_up,MYH10,A549,IFNAR2
0,IFNB,IFNB_program1_up,SLC39A10,A549,IFNAR2
0,IFNB,IFNB_program1_up,DDB1,A549,IFNAR2
0,IFNB,IFNB_program1_up,PTGES3,A549,IFNAR2
0,IFNB,IFNB_program1_up,ABHD2,A549,IFNAR2
0,IFNB,IFNB_program1_up,DEPDC1B,A549,IFNAR2
0,IFNB,IFNB_program1_up,PTPN13,A549,IFNAR2
0,IFNB,IFNB_program1_up,PTMA,A549,IFNAR2
0,IFNB,IFNB_program1_up,SSR1,A549,IFNAR2
0,IFNB,IFNB_program1_up,FANCC,A549,IFNAR2
0,IFNB,IFNB_program1_up,HUWE1,A549,IFNAR2
0,IFNB,IFNB_program1_up,SSH2,A549,IFNAR2
0,IFNB,IFNB_program1_up,EPRS,A549,IFNAR2
0,IFNB,IFNB_program1_up,CAP1,A549,IFNAR2
0,IFNB,IFNB_program1_up,ATP13A3,A549,IFNAR2
0,IFNB,IFNB_program1_up,SSR3,A549,IFNAR2
0,IFNB,IFNB_program1_up,NCL,A549,IFNAR2
0,IFNB,IFNB_program1_up,LMNB2,A549,IFNAR2
0,IFNB,IFNB_program1_up,AZIN1,A549,IFNAR2
0,IFNB,IFNB_program1_up,ENOSF1,A549,IFNAR2
0,IFNB,IFNB_program1_up,EHMT1,A549,IFNAR2
0,IFNB,IFNB_program1_up,MRPS27,A549,IFNAR2
0,IFNB,IFNB_program1_up,SFPQ,A549,IFNAR2
0,IFNB,IFNB_program1_up,IMMP2L,A549,IFNAR2
0,IFNB,IFNB_program1_up,PCBP2,A549,IFNAR2
0,IFNB,IFNB_program1_up,HACD3,A549,IFNAR2
0,IFNB,IFNB_program1_up,C11orf80,A549,IFNAR2
0,IFNB,IFNB_program1_up,ADAM9,A549,IFNAR2
0,IFNB,IFNB_program1_up,TMEM131L,A549,IFNAR2
0,IFNB,IFNB_program1_up,SLC7A6,A549,IFNAR2
0,IFNB,IFNB_program1_up,MLLT10,A549,IFNAR2
0,IFNB,IFNB_program1_up,DSG2,A549,IFNAR2
0,IFNB,IFNB_program1_up,DSTN,A549,IFNAR2
0,IFNB,IFNB_program1_up,WDPCP,A549,IFNAR2
0,IFNB,IFNB_program1_up,SKP2,A549,IFNAR2
0,IFNB,IFNB_program1_up,EIF2S3,A549,IFNAR2
0,IFNB,IFNB_program1_up,G2E3,A549,IFNAR2
0,IFNB,IFNB_program1_up,UBE3A,A549,IFNAR2
0,IFNB,IFNB_program1_up,RPL14,A549,IFNAR2
0,IFNB,IFNB_program1_up,APPL2,A549,IFNAR2
0,IFNB,IFNB_program1_up,EIF2B3,A549,IFNAR2
0,IFNB,IFNB_program1_up,LRP6,A549,IFNAR2
0,IFNB,IFNB_program1_up,RNF130,A549,IFNAR2
0,IFNB,IFNB_program1_up,CNN2,A549,IFNAR2
0,IFNB,IFNB_program1_up,TASP1,A549,IFNAR2
0,IFNB,IFNB_program1_up,CHD3,A549,IFNAR2
0,IFNB,IFNB_program1_up,ZRANB3,A549,IFNAR2
0,IFNB,IFNB_program1_up,PRC1,A549,IFNAR2
0,IFNB,IFNB_program1_up,FRMD6,A549,IFNAR2
0,IFNB,IFNB_program1_up,ILF3,A549,IFNAR2
0,IFNB,IFNB_program1_up,RDX,A549,IFNAR2
0,IFNB,IFNB_program1_up,TAF1,A549,IFNAR2
0,IFNB,IFNB_program1_up,RPL7A,A549,IFNAR2
0,IFNB,IFNB_program1_up,CDV3,A549,IFNAR2
0,IFNB,IFNB_program1_up,YWHAE,A549,IFNAR2
0,IFNB,IFNB_program1_up,HSPA4,A549,IFNAR2
0,IFNB,IFNB_program1_up,AHNAK,A549,IRF9
0,IFNB,IFNB_program1_up,PABPC1,A549,IRF9
0,IFNB,IFNB_program1_up,PRKDC,A549,IRF9
0,IFNB,IFNB_program1_up,MT-ATP6,A549,IRF9
0,IFNB,IFNB_program1_up,MT-ND5,A549,IRF9
0,IFNB,IFNB_program1_up,EEF1A1,A549,IRF9
0,IFNB,IFNB_program1_up,MT-ND4,A549,IRF9
0,IFNB,IFNB_program1_up,FAT1,A549,IRF9
0,IFNB,IFNB_program1_up,MYH9,A549,IRF9
0,IFNB,IFNB_program1_up,MT-CO3,A549,IRF9
0,IFNB,IFNB_program1_up,MT-CYB,A549,IRF9
0,IFNB,IFNB_program1_up,CBX5,A549,IRF9
0,IFNB,IFNB_program1_up,EEF2,A549,IRF9
0,IFNB,IFNB_program1_up,PTPRF,A549,IRF9
0,IFNB,IFNB_program1_up,EIF4G2,A549,IRF9
0,IFNB,IFNB_program1_up,MT-ATP8,A549,IRF9
0,IFNB,IFNB_program1_up,H2AFV,A549,IRF9
0,IFNB,IFNB_program1_up,NORAD,A549,IRF9
0,IFNB,IFNB_program1_up,TFRC,A549,IRF9
0,IFNB,IFNB_program1_up,CENPF,A549,IRF9
0,IFNB,IFNB_program1_up,NUCKS1,A549,IRF9
0,IFNB,IFNB_program1_up,ADK,A549,IRF9
0,IFNB,IFNB_program1_up,EIF4B,A549,IRF9
0,IFNB,IFNB_program1_up,HSP90AB1,A549,IRF9
0,IFNB,IFNB_program1_up,SET,A549,IRF9
0,IFNB,IFNB_program1_up,EGFR,A549,IRF9
0,IFNB,IFNB_program1_up,TRIO,A549,IRF9
0,IFNB,IFNB_program1_up,IQGAP1,A549,IRF9
0,IFNB,IFNB_program1_up,RPL4,A549,IRF9
0,IFNB,IFNB_program1_up,HSPA8,A549,IRF9
0,IFNB,IFNB_program1_up,CD44,A549,IRF9
0,IFNB,IFNB_program1_up,TOP2A,A549,IRF9
0,IFNB,IFNB_program1_up,ENO1,A549,IRF9
0,IFNB,IFNB_program1_up,HNRNPA1,A549,IRF9
0,IFNB,IFNB_program1_up,DDX21,A549,IRF9
0,IFNB,IFNB_program1_up,CANX,A549,IRF9
0,IFNB,IFNB_program1_up,HSP90AA1,A549,IRF9
0,IFNB,IFNB_program1_up,EIF3A,A549,IRF9
0,IFNB,IFNB_program1_up,XRCC5,A549,IRF9
0,IFNB,IFNB_program1_up,KIF23,A549,IRF9
0,IFNB,IFNB_program1_up,IPO5,A549,IRF9
0,IFNB,IFNB_program1_up,SCFD2,A549,IRF9
0,IFNB,IFNB_program1_up,AP2B1,A549,IRF9
0,IFNB,IFNB_program1_up,FLNA,A549,IRF9
0,IFNB,IFNB_program1_up,SMARCC1,A549,IRF9
0,IFNB,IFNB_program1_up,NAA50,A549,IRF9
0,IFNB,IFNB_program1_up,CMSS1,A549,IRF9
0,IFNB,IFNB_program1_up,SMYD3,A549,IRF9
0,IFNB,IFNB_program1_up,PBX3,A549,IRF9
0,IFNB,IFNB_program1_up,FER,A549,IRF9
0,IFNB,IFNB_program1_up,NPM1,A549,IRF9
0,IFNB,IFNB_program1_up,IPO7,A549,IRF9
0,IFNB,IFNB_program1_up,RPS6,A549,IRF9
0,IFNB,IFNB_program1_up,HSPD1,A549,IRF9
0,IFNB,IFNB_program1_up,NUDT3,A549,IRF9
0,IFNB,IFNB_program1_up,KIF4A,A549,IRF9
0,IFNB,IFNB_program1_up,PTPN11,A549,IRF9
0,IFNB,IFNB_program1_up,STAG1,A549,IRF9
0,IFNB,IFNB_program1_up,CAPN2,A549,IRF9
0,IFNB,IFNB_program1_up,CKAP5,A549,IRF9
0,IFNB,IFNB_program1_up,BRI3BP,A549,IRF9
0,IFNB,IFNB_program1_up,ERMP1,A549,IRF9
0,IFNB,IFNB_program1_up,DOCK5,A549,IRF9
0,IFNB,IFNB_program1_up,ACTR2,A549,IRF9
0,IFNB,IFNB_program1_up,PKP4,A549,IRF9
0,IFNB,IFNB_program1_up,LRPPRC,A549,IRF9
0,IFNB,IFNB_program1_up,CTNNAL1,A549,IRF9
0,IFNB,IFNB_program1_up,YWHAB,A549,IRF9
0,IFNB,IFNB_program1_up,ROR1,A549,IRF9
0,IFNB,IFNB_program1_up,TOMM20,A549,IRF9
0,IFNB,IFNB_program1_up,EIF4G3,A549,IRF9
0,IFNB,IFNB_program1_up,WEE1,A549,IRF9
0,IFNB,IFNB_program1_up,CDK6,A549,IRF9
0,IFNB,IFNB_program1_up,MTATP6P1,A549,IRF9
0,IFNB,IFNB_program1_up,HMGA2,A549,IRF9
0,IFNB,IFNB_program1_up,GALNT10,A549,IRF9
0,IFNB,IFNB_program1_up,MKI67,A549,IRF9
0,IFNB,IFNB_program1_up,PTPN14,A549,IRF9
0,IFNB,IFNB_program1_up,EIF4EBP2,A549,IRF9
0,IFNB,IFNB_program1_up,MYO9A,A549,IRF9
0,IFNB,IFNB_program1_up,TPX2,A549,IRF9
0,IFNB,IFNB_program1_up,CALM1,A549,IRF9
0,IFNB,IFNB_program1_up,ARL15,A549,IRF9
0,IFNB,IFNB_program1_up,SERBP1,A549,IRF9
0,IFNB,IFNB_program1_up,PAICS,A549,IRF9
0,IFNB,IFNB_program1_up,CDC42BPA,A549,IRF9
0,IFNB,IFNB_program1_up,MAP3K20,A549,IRF9
0,IFNB,IFNB_program1_up,HACD2,A549,IRF9
0,IFNB,IFNB_program1_up,THADA,A549,IRF9
0,IFNB,IFNB_program1_up,GNL3L,A549,IRF9
0,IFNB,IFNB_program1_up,TMEM117,A549,IRF9
0,IFNB,IFNB_program1_up,SRSF1,A549,IRF9
0,IFNB,IFNB_program1_up,ACO1,A549,IRF9
0,IFNB,IFNB_program1_up,PPP3CA,A549,IRF9
0,IFNB,IFNB_program1_up,LDLRAD3,A549,IRF9
0,IFNB,IFNB_program1_up,SNRNP200,A549,IRF9
0,IFNB,IFNB_program1_up,KLF12,A549,IRF9
0,IFNB,IFNB_program1_up,MLEC,A549,IRF9
0,IFNB,IFNB_program1_up,SORL1,A549,IRF9
0,IFNB,IFNB_program1_up,MAGI1,A549,IRF9
0,IFNB,IFNB_program1_up,CEP83,A549,IRF9
0,IFNB,IFNB_program1_up,PRKAR2A,A549,IRF9
0,IFNB,IFNB_program1_up,XPO7,A549,IRF9
0,IFNB,IFNB_program1_up,CIT,A549,IRF9
0,IFNB,IFNB_program1_up,ASPH,A549,IRF9
0,IFNB,IFNB_program1_up,RPL3,A549,IRF9
0,IFNB,IFNB_program1_up,ACTG1,A549,IRF9
0,IFNB,IFNB_program1_up,ACTB,A549,IRF9
0,IFNB,IFNB_program1_up,PRPF8,A549,IRF9
0,IFNB,IFNB_program1_up,ZMIZ1,A549,IRF9
0,IFNB,IFNB_program1_up,SLC4A7,A549,IRF9
0,IFNB,IFNB_program1_up,CAMKMT,A549,IRF9
0,IFNB,IFNB_program1_up,SEMA3C,A549,IRF9
0,IFNB,IFNB_program1_up,DIAPH3,A549,IRF9
0,IFNB,IFNB_program1_up,CPD,A549,IRF9
0,IFNB,IFNB_program1_up,DYNC2H1,A549,IRF9
0,IFNB,IFNB_program1_up,SSRP1,A549,IRF9
0,IFNB,IFNB_program1_up,PDZD8,A549,IRF9
0,IFNB,IFNB_program1_up,KIF14,A549,IRF9
0,IFNB,IFNB_program1_up,CLTC,A549,IRF9
0,IFNB,IFNB_program1_up,VOPP1,A549,IRF9
0,IFNB,IFNB_program1_up,VWA8,A549,IRF9
0,IFNB,IFNB_program1_up,MACF1,A549,IRF9
0,IFNB,IFNB_program1_up,NCOR2,A549,IRF9
0,IFNB,IFNB_program1_up,NCAPD2,A549,IRF9
0,IFNB,IFNB_program1_up,ASPM,A549,IRF9
0,IFNB,IFNB_program1_up,BCLAF1,A549,IRF9
0,IFNB,IFNB_program1_up,DHX9,A549,IRF9
0,IFNB,IFNB_program1_up,SEPT11,A549,IRF9
0,IFNB,IFNB_program1_up,MSN,A549,IRF9
0,IFNB,IFNB_program1_up,MYADM,A549,IRF9
0,IFNB,IFNB_program1_up,DCBLD2,A549,IRF9
0,IFNB,IFNB_program1_up,EEF1G,A549,IRF9
0,IFNB,IFNB_program1_up,TMBIM6,A549,IRF9
0,IFNB,IFNB_program1_up,TTC3,A549,IRF9
0,IFNB,IFNB_program1_up,NAP1L1,A549,IRF9
0,IFNB,IFNB_program1_up,YWHAG,A549,IRF9
0,IFNB,IFNB_program1_up,CYREN,A549,IRF9
0,IFNB,IFNB_program1_up,EFNA5,A549,IRF9
0,IFNB,IFNB_program1_up,PMEPA1,A549,IRF9
0,IFNB,IFNB_program1_up,JPT2,A549,IRF9
0,IFNB,IFNB_program1_up,CEP85L,A549,IRF9
0,IFNB,IFNB_program1_up,UBE2E3,A549,IRF9
0,IFNB,IFNB_program1_up,MAN1A2,A549,IRF9
0,IFNB,IFNB_program1_up,ATP2B1,A549,IRF9
0,IFNB,IFNB_program1_up,MSI2,A549,IRF9
0,IFNB,IFNB_program1_up,FARS2,A549,IRF9
0,IFNB,IFNB_program1_up,HERC2,A549,IRF9
0,IFNB,IFNB_program1_up,DDX10,A549,IRF9
0,IFNB,IFNB_program1_up,PCYOX1,A549,IRF9
0,IFNB,IFNB_program1_up,GSPT1,A549,IRF9
0,IFNB,IFNB_program1_up,MT-ND2,A549,IRF9
0,IFNB,IFNB_program1_up,SBNO1,A549,IRF9
0,IFNB,IFNB_program1_up,MPP6,A549,IRF9
0,IFNB,IFNB_program1_up,HDLBP,A549,IRF9
0,IFNB,IFNB_program1_up,CAMSAP2,A549,IRF9
0,IFNB,IFNB_program1_up,RPL5,A549,IRF9
0,IFNB,IFNB_program1_up,PRMT3,A549,IRF9
0,IFNB,IFNB_program1_up,CCT5,A549,IRF9
0,IFNB,IFNB_program1_up,C15orf41,A549,IRF9
0,IFNB,IFNB_program1_up,SPRED2,A549,IRF9
0,IFNB,IFNB_program1_up,TGOLN2,A549,IRF9
0,IFNB,IFNB_program1_up,YWHAZ,A549,IRF9
0,IFNB,IFNB_program1_up,CENPE,A549,IRF9
0,IFNB,IFNB_program1_up,RPS3,A549,IRF9
0,IFNB,IFNB_program1_up,GLS,A549,IRF9
0,IFNB,IFNB_program1_up,THSD4,A549,IRF9
0,IFNB,IFNB_program1_up,EEPD1,A549,IRF9
0,IFNB,IFNB_program1_up,BUB1B,A549,IRF9
0,IFNB,IFNB_program1_up,CSDE1,A549,IRF9
0,IFNB,IFNB_program1_up,VCL,A549,IRF9
0,IFNB,IFNB_program1_up,SEPT9,A549,IRF9
0,IFNB,IFNB_program1_up,SACS,A549,IRF9
0,IFNB,IFNB_program1_up,MYO5A,A549,IRF9
0,IFNB,IFNB_program1_up,KIAA0100,A549,IRF9
0,IFNB,IFNB_program1_up,TGFBI,A549,IRF9
0,IFNB,IFNB_program1_up,DKC1,A549,IRF9
0,IFNB,IFNB_program1_up,TMX4,A549,IRF9
0,IFNB,IFNB_program1_up,SORT1,A549,IRF9
0,IFNB,IFNB_program1_up,ATP11B,A549,IRF9
0,IFNB,IFNB_program1_up,SPIRE1,A549,IRF9
0,IFNB,IFNB_program1_up,KCNQ1OT1,A549,IRF9
0,IFNB,IFNB_program1_up,HEATR1,A549,IRF9
0,IFNB,IFNB_program1_up,SSFA2,A549,IRF9
0,IFNB,IFNB_program1_up,NOLC1,A549,IRF9
0,IFNB,IFNB_program1_up,RPL7,A549,IRF9
0,IFNB,IFNB_program1_up,TLN1,A549,IRF9
0,IFNB,IFNB_program1_up,ARPP19,A549,IRF9
0,IFNB,IFNB_program1_up,ABCE1,A549,IRF9
0,IFNB,IFNB_program1_up,KIF11,A549,IRF9
0,IFNB,IFNB_program1_up,COA1,A549,IRF9
0,IFNB,IFNB_program1_up,PRR11,A549,IRF9
0,IFNB,IFNB_program1_up,PLEKHA5,A549,IRF9
0,IFNB,IFNB_program1_up,MICAL2,A549,IRF9
0,IFNB,IFNB_program1_up,LMNB1,A549,IRF9
0,IFNB,IFNB_program1_up,CSE1L,A549,IRF9
0,IFNB,IFNB_program1_up,SOGA1,A549,IRF9
0,IFNB,IFNB_program1_up,CAVIN1,A549,IRF9
0,IFNB,IFNB_program1_up,ODF2,A549,IRF9
0,IFNB,IFNB_program1_up,UTP20,A549,IRF9
0,IFNB,IFNB_program1_up,TPM1,A549,IRF9
0,IFNB,IFNB_program1_up,ZNF407,A549,IRF9
0,IFNB,IFNB_program1_up,BZW1,A549,IRF9
0,IFNB,IFNB_program1_up,GPHN,A549,IRF9
0,IFNB,IFNB_program1_up,NDC1,A549,IRF9
0,IFNB,IFNB_program1_up,TNIK,A549,IRF9
0,IFNB,IFNB_program1_up,ETF1,A549,IRF9
0,IFNB,IFNB_program1_up,RANBP2,A549,IRF9
0,IFNB,IFNB_program1_up,HNRNPA3,A549,IRF9
0,IFNB,IFNB_program1_up,MORC4,A549,IRF9
0,IFNB,IFNB_program1_up,SMC4,A549,IRF9
0,IFNB,IFNB_program1_up,ANXA1,A549,IRF9
0,IFNB,IFNB_program1_up,FHL2,A549,IRF9
0,IFNB,IFNB_program1_up,IFT88,A549,IRF9
0,IFNB,IFNB_program1_up,RBM3,A549,IRF9
0,IFNB,IFNB_program1_up,STXBP5,A549,IRF9
0,IFNB,IFNB_program1_up,PIBF1,A549,IRF9
0,IFNB,IFNB_program1_up,AGO2,A549,IRF9
0,IFNB,IFNB_program1_up,HIP1,A549,IRF9
0,IFNB,IFNB_program1_up,PXN,A549,IRF9
0,IFNB,IFNB_program1_up,LASP1,A549,IRF9
0,IFNB,IFNB_program1_up,KPNB1,A549,IRF9
0,IFNB,IFNB_program1_up,SCMH1,A549,IRF9
0,IFNB,IFNB_program1_up,LDHB,A549,IRF9
0,IFNB,IFNB_program1_up,PRKCA,A549,IRF9
0,IFNB,IFNB_program1_up,HNRNPM,A549,IRF9
0,IFNB,IFNB_program1_up,MPHOSPH9,A549,IRF9
0,IFNB,IFNB_program1_up,FAM120A,A549,IRF9
0,IFNB,IFNB_program1_up,MYOF,A549,IRF9
0,IFNB,IFNB_program1_up,CCT3,A549,IRF9
0,IFNB,IFNB_program1_up,IGF1R,A549,IRF9
0,IFNB,IFNB_program1_up,AC016831.1,A549,IRF9
0,IFNB,IFNB_program1_up,WDR35,A549,IRF9
0,IFNB,IFNB_program1_up,LARS,A549,IRF9
0,IFNB,IFNB_program1_up,DDX6,A549,IRF9
0,IFNB,IFNB_program1_up,NOP56,A549,IRF9
0,IFNB,IFNB_program1_up,GTF2A1,A549,IRF9
0,IFNB,IFNB_program1_up,PABPC4,A549,IRF9
0,IFNB,IFNB_program1_up,RUNX1,A549,IRF9
0,IFNB,IFNB_program1_up,RPL13A,A549,IRF9
0,IFNB,IFNB_program1_up,HELLS,A549,IRF9
0,IFNB,IFNB_program1_up,BLCAP,A549,IRF9
0,IFNB,IFNB_program1_up,IVNS1ABP,A549,IRF9
0,IFNB,IFNB_program1_up,RPL11,A549,IRF9
0,IFNB,IFNB_program1_up,MYH10,A549,IRF9
0,IFNB,IFNB_program1_up,SLC39A10,A549,IRF9
0,IFNB,IFNB_program1_up,DDB1,A549,IRF9
0,IFNB,IFNB_program1_up,PTGES3,A549,IRF9
0,IFNB,IFNB_program1_up,ABHD2,A549,IRF9
0,IFNB,IFNB_program1_up,DEPDC1B,A549,IRF9
0,IFNB,IFNB_program1_up,PTPN13,A549,IRF9
0,IFNB,IFNB_program1_up,PTMA,A549,IRF9
0,IFNB,IFNB_program1_up,SSR1,A549,IRF9
0,IFNB,IFNB_program1_up,FANCC,A549,IRF9
0,IFNB,IFNB_program1_up,HUWE1,A549,IRF9
0,IFNB,IFNB_program1_up,SSH2,A549,IRF9
0,IFNB,IFNB_program1_up,EPRS,A549,IRF9
0,IFNB,IFNB_program1_up,CAP1,A549,IRF9
0,IFNB,IFNB_program1_up,ATP13A3,A549,IRF9
0,IFNB,IFNB_program1_up,SSR3,A549,IRF9
0,IFNB,IFNB_program1_up,NCL,A549,IRF9
0,IFNB,IFNB_program1_up,LMNB2,A549,IRF9
0,IFNB,IFNB_program1_up,AZIN1,A549,IRF9
0,IFNB,IFNB_program1_up,ENOSF1,A549,IRF9
0,IFNB,IFNB_program1_up,EHMT1,A549,IRF9
